gdp,rank,worth
158000000000.00,404,1
8100000000000.00,145,2.5
854000000000.00,322,1.2
2500000000000.00,388,1
160000000000.00,162,2.2
6100000000.00,383,1
4710000000000.00,164,2.2
4710000000000.00,156,2.3
4710000000000.00,60,3.9
1610000000000.00,187,2
2500000000000.00,258,1.5
397000000000.00,225,1.8
397000000000.00,136,2.5
397000000000.00,282,1.4
443000000000.00,122,2.6
8100000000000.00,294,1.4
2500000000000.00,190,2
8100000000000.00,41,4.7
641000000000.00,405,1
25200000000.00,325,1.2
